Target Gene Symbol,n_sgrnas,z_scored_avg_lfc,p_value,FDR
A1BG,6,0.5630169494452011,0.7027653411480025,0.8731335414482366
A1CF,6,-1.3364879680038007,0.08331594258582734,0.3166761469173017
A2M,8,-1.081096148284538,0.1291397954445957,0.4187172653053303
A2ML1,6,-0.9510409644229655,0.1584641737559591,0.47361117922597207
A3GALT2,6,0.1484699413398527,0.5326646155261888,0.7892257886862355
A4GALT,4,0.5426692633621685,0.6950179311185274,0.8698136016116705
A4GNT,7,0.7188756547086727,0.7588703069534645,0.8975302184900962
AAAS,6,-0.02390991943968937,0.4605062997940461,0.748752496390078
AACS,7,-2.438926788518851,0.017523599701187845,0.10643275146696363
AADAC,6,-0.9642669051478723,0.1553324443261654,0.46832942845312636
AADACL2,8,-0.009566365980118322,0.46642003183469005,0.7522745746290264
AADACL3,3,-0.06536829452612432,0.4435384139898011,0.7389072617183645
AADAT,7,-0.25504263797640814,0.3689648729509517,0.6910104966839874
AAGAB,8,-1.444480551022934,0.06918920323561227,0.28015542459859566
AAK1,8,-2.053042050211908,0.028592891560291187,0.15255738100158756
AAMDC,6,1.1884877368565552,0.8897338699067243,0.9541816987972523
AAMP,2,-11.077284797677654,1.3270499677152565e-103,2.4950918566295715e-102
AANAT,5,1.1114189266050434,0.8724935195854759,0.9467184094507691
AAR2,9,-5.258327193667885,0.001825607079211412,0.019448072705572136
AARD,6,-0.6674067396195681,0.23253689177379028,0.5740288879317169
AARS1,9,-30.325027538808797,0.0,0.0
AARS2,7,-13.828695296005819,8.414644868737556e-229,2.098325643159298e-227
AARSD1,9,0.8409618411974554,0.7985896247118205,0.914852218498561
AASDH,9,-0.10480435113291094,0.4275896421495802,0.7285559560704168
AASDHPPT,8,-7.347094448755839,1.7874470438230522e-14,2.404963495812385e-13
AASS,10,0.8142276425141179,0.7902181123626697,0.9113595393285026
AATF,8,-15.315112248323132,0.0,0.0
ABAT,9,-1.262177566486342,0.09484903607410736,0.34471799267826814
ABCA1,6,-6.047491628734427,6.940074785111817e-05,0.000823948375588401
ABCA10,6,0.06028466446328138,0.49548999140913824,0.7698242442658685
ABCA12,6,-0.615601040510748,0.2475719770992162,0.5910132356927102
ABCA13,9,0.10590077004172693,0.5146703175616444,0.7788256064562135
ABCA2,2,-0.20217099224798693,0.3891636122860139,0.7057402697346798
ABCA3,7,-1.5058178233047799,0.06245269810694373,0.26187786067557384
ABCA4,5,1.5624845068310955,0.9482778803200953,0.9784429946908
ABCA5,5,-0.9259745444440376,0.16448353370081376,0.4835626328718675
ABCA6,9,-0.6687729130740876,0.23214752490784205,0.5740288879317169
ABCA7,3,-2.9961347779463074,0.009674832748930703,0.06852976277732266
ABCA8,7,-0.05393860286853723,0.4481967991473254,0.7418985423977605
ABCA9,9,-0.7901707609538434,0.19887279765113652,0.5328774735643015
ABCB10,9,-7.215690828313363,5.141958227320542e-13,6.8500173223098e-12
ABCB11,8,-0.42790016000588976,0.30699082818154944,0.6452996869129235
ABCB4,8,-0.22375432717743504,0.38085592703445637,0.6996318932103379
ABCB5,7,-0.2542705999992482,0.3692560353304184,0.6910972329874612
ABCB6,6,-0.6466356700248462,0.23850104366621233,0.5804802766380225
ABCB7,8,-18.451060856302448,0.0,0.0
ABCB8,4,0.4389459168608992,0.6541895919296387,0.8529131858461055
ABCB9,3,-1.4764728944781613,0.06556649688778145,0.2704170333735308
ABCC1,2,0.9518718891825423,0.8313197206801723,0.9293047904231323
ABCC10,6,-0.1417336175406915,0.41284489877670594,0.7209168845587958
ABCC11,7,-0.4353886265359418,0.30446132146548704,0.6433803162771744
ABCC2,4,0.25754826503444306,0.5788932291124758,0.8161750306935698
ABCC3,5,-6.089666653497541,4.908895431076863e-05,0.0005872320599013811
ABCC4,10,1.0156343860339936,0.8486357073764877,0.937317667084779
ABCC5,4,0.0695021012443591,0.4993550652893203,0.7718904002183506
ABCC6,5,0.8747254291504961,0.8088971730403947,0.918895225335129
ABCC8,5,-0.5944787247656665,0.2538596994979624,0.5974453992548355
ABCC9,4,-0.4744235916593772,0.2914938029061792,0.632816448968772
ABCD1,6,-0.5137792004457621,0.2787887195424803,0.6218695796125636
ABCD2,6,-0.6529064765721807,0.23669162086879936,0.5785352488851904
ABCD3,7,1.4167895444897005,0.9302050432145368,0.9707269943479911
ABCD4,8,-1.57489192217756,0.05585531459109447,0.2430568864767382
ABCE1,7,-19.001162075163005,0.0,0.0
ABCF1,5,-11.55028557178711,1.5798668210868373e-121,3.109817099234226e-120
ABCF2,4,-1.1002653902362256,0.12512070849671145,0.41048029445471357
ABCF2-H2BK1,5,-0.7375744234584869,0.21297967281080354,0.5514219289054366
ABCF3,5,-0.07309942024429328,0.4403963209724505,0.7371223358606322
ABCG1,5,-0.8182399130169326,0.19152620933851133,0.5219344959842758
ABCG2,6,0.2369953358272282,0.5701940399259561,0.8105387422472846
ABCG4,7,0.044110646087408605,0.4887227227778501,0.7655448036947021
ABCG5,4,-0.4259168804470182,0.307663004624277,0.6459366485406556
ABCG8,10,-1.4033450071416298,0.07421497593142692,0.2927807942857985
ABHD1,4,-0.9320095009128084,0.16302445949373914,0.48153278041693837
ABHD10,9,-0.33985973326990093,0.33772288605787854,0.6689426662359578
ABHD11,7,-0.9613895482880921,0.15601110473164087,0.4694009601560702
ABHD12,3,1.7237822780804508,0.9630236246243713,0.9838818405892481
ABHD12B,7,-0.1188560544541194,0.4219564312217037,0.7256328279285871
ABHD13,5,-0.006784617661395144,0.46756932506374327,0.7527725672942646
ABHD14A,10,-4.060206984430043,0.00518434271762053,0.04583879131844601
ABHD14A-ACY1,10,-4.060206984430043,0.00518434271762053,0.04583879131844601
ABHD14B,18,-1.6389605121422457,0.05055972895755023,0.22632582488301534
ABHD15,5,-3.3375990478705257,0.007476132909204699,0.05722115495317545
ABHD16A,2,0.5153958580018223,0.684491809305547,0.8650921281762457
ABHD16B,5,-0.24399527181633995,0.3731422057006939,0.6938713483163066
ABHD17A,2,-0.9838780147629689,0.15074714498736988,0.459717908873438
ABHD17B,5,-1.4431386356981615,0.06934652529535437,0.28061186666675336
ABHD17C,6,0.0724444778112312,0.5005900894591067,0.7726548950420926
ABHD18,8,-0.8520845832362123,0.18283238759350617,0.5100265416759674
ABHD2,5,0.29966395238420757,0.5966568898982822,0.8266022603904463
ABHD3,8,-1.316395666702053,0.08628511701271915,0.3238823133523761
ABHD4,3,-0.7470268638988,0.21041086814506296,0.5497757982939598
ABHD5,7,-0.8375885323854506,0.18653410173669704,0.5152937239213099
ABHD6,5,0.31803345485771306,0.6043677616132499,0.8299419909049823
ABHD8,5,1.0670114359776965,0.86176084525488,0.9427132287828215
ABI1,6,0.5995602032975489,0.7164429848710412,0.8811136422504593
ABI2,9,-1.935032705363269,0.03336840783164455,0.16928122403599952
ABI3,4,0.5368500133032802,0.6927854308317516,0.8692596560361944
ABI3BP,8,0.35194725561929874,0.6185238769337639,0.8357222263888527
ABITRAM,3,-0.6684514242359697,0.23223911904574446,0.5740288879317169
ABL2,9,-1.175355789678048,0.11023298147635469,0.37958190283275217
ABLIM2,4,-0.2720796543252393,0.3625695354999855,0.6863125842927621
ABLIM3,7,-1.757748982118105,0.042463906245320954,0.20033600783369981
ABO,6,0.643939723397651,0.7326304009989492,0.8869512139042857
ABR,6,0.18925080448029621,0.5499509734032733,0.7994320441193277
ABRA,8,0.074259700795555,0.5013522914737335,0.7727526354942882
ABRACL,6,-1.4008128874980144,0.0745383065184991,0.29358241395295276
ABRAXAS1,9,0.4946286904508761,0.6763722658966028,0.8619029750631649
ABRAXAS2,6,-0.9819505924929685,0.15119464781455022,0.4605536846377082
ABT1,8,-2.8419404119551435,0.011293885686919,0.07666115789714849
ABTB1,5,-0.5798438409756376,0.2582722938380708,0.6009375188932902
ABTB2,6,-0.7175939234280743,0.21845960634223283,0.5579443550442565
ABTB3,5,-0.04852491875575249,0.45040856921227046,0.7432495908876361
ACAA1,5,0.2534098812359108,0.5771428499599675,0.8152433494673385
ACAA2,6,0.6228661051574201,0.7250027071357774,0.8838796158439494
ACACA,5,-2.6043517611813742,0.01453112509542197,0.09282708914594942
ACACB,7,0.1264852456915122,0.5233625411370408,0.7849606458798603
ACAD10,9,0.4436057292211008,0.6560674636751485,0.8535216858600119
ACAD11,4,0.2970818751348782,0.5955709580268314,0.8256898483161351
ACAD8,9,3.1269124495114275,0.9999270549930664,1.0
ACAD9,7,-8.531093826491183,9.497554719194704e-33,1.4251616886664421e-31
ACADL,6,-0.26591270352504803,0.36487782026854854,0.6882292778986202
ACADM,8,1.0623783265413662,0.8606081281137425,0.9421963045715424
ACADS,8,1.5695728275054714,0.9490274213995034,0.9786988442187685
ACADSB,4,-1.539234465283108,0.05913774256745973,0.25244567302005416
ACADVL,6,1.411737233992943,0.9294778368331638,0.9704490284772016
ACAN,3,-0.12195963244686765,0.4207159386188857,0.7247949469079531
ACAP1,5,0.03983698088190231,0.48693794891032005,0.7649103488042033
ACAP2,4,-0.041748521467295796,0.45318177750979666,0.7442203093489105
ACAP3,7,0.7649836625187565,0.7743173579157293,0.9041488612027418
ACAT1,6,0.7266249392443499,0.76150397540141,0.8991398945350545
ACAT2,4,-0.17055510629551285,0.40147812005241745,0.7137112884340311
ACBD3,4,-2.800308824832523,0.011794692466798942,0.07909357360417892
