,Target Gene Symbol,Category,z_scored_avg_lfc_A549_Zim3,z_scored_avg_lfc_A549_Kox1,z_scored_avg_lfc_HCT116_Zim3,z_scored_avg_lfc_HCT116_Kox1
0,OR6K6,Non-essential,0.2642486890666856,0.09392602262255696,0.11600770012340318,0.12571256351823723
1,COPS3,Essential,-1.1184528758262284,-0.8634804865055141,-1.2429614593472653,-1.4149966463891939
2,RSRC2,Essential,-0.3615375976936684,-0.29003418566699457,-1.6873177833376827,-1.7881402558258912
3,ADSL,Essential,-1.3545865022721895,-0.7957113372382756,-1.9725592564646102,-2.3189607016926446
4,CYP7A1,Non-essential,-0.013116934079998343,-0.05895224650242343,-0.09769733876720105,0.11788876256075378
5,YEATS4,Essential,-0.8793310161270771,-0.6483414834016173,-2.926239245553343,-3.2869773478812103
6,RPAP1,Essential,-2.588637389310942,-2.15751591657894,-2.4749521288615246,-2.7847144636093826
7,TFAP2D,Non-essential,-0.04656296300950549,-0.026350418409500222,-0.21833778298987408,-0.27102634479601667
8,IL22,Non-essential,0.15090715062746932,0.03555363970647423,-0.0775162713994433,0.06657815806628195
9,DHX15,Essential,-2.1384511975866465,-1.6514132706796052,-1.7992890941197355,-2.0844203251704974
10,MRPL45,Essential,-1.8312008228108605,-1.4925767407130004,-1.689792904164598,-2.0247646029605044
11,APOBEC1,Non-essential,0.0022942015297838536,0.015723205735033628,-0.04929937338802591,-0.12437401457006993
12,DEFB126,Non-essential,0.16983450223851795,0.1986328323684104,0.04069070620451562,0.27017590400128955
13,MED7,Essential,-1.8903313523035163,-1.5541323357355221,-4.01429789878858,-4.4421626273423325
14,PRAMEF4,Non-essential,0.005477177352126366,-0.08547723193948303,-0.25123383375045993,0.06985637669117996
15,SLITRK1,Non-essential,-0.12746312061827889,0.024954129515895564,-0.2213417482859415,-0.2660414823898402
16,SPATA31A7,Non-essential,-0.04946157640802437,-0.05628391272929447,-0.24295627018180732,-0.20735700776905472
17,PDCD11,Essential,-3.763818007893598,-3.090871078186121,-2.2471108039366254,-2.4190884504147867
18,RBBP6,Essential,-1.1378989780875748,-1.001928908964492,-1.213952920823515,-1.4870677975945372
